Acceleration,Temperature,Speed,Voltage,Current
3e000100,419eeeef,00000000,3d23b34a,400e2f10
3e140128,419eeeef,00000000,3d2364f6,400e2fa5
3e140128,41accccd,00000000,3d2316e1,400e2f67
3e100120,41bc4444,00000000,3d22c90a,400e2f2a
3e280150,41ba2223,00000000,3d227b71,400e2eed
3e240148,41b4cccd,3de299b8,3d222e17,400e2eb0
3e180130,41ac4444,4094627a,3d21e0fa,400e2ea7
3e100120,41ac4444,408dbf15,3d21941b,400e2e9e
3e100120,41ac4444,4086ff20,3d214779,400e2e95
3d900120,41a99999,40801821,3d20fb14,400e2ec1
3ecc0198,41a99999,40721571,3d20aeec,400e2eed
3d000100,41a99999,40638342,3d206300,400e2f18
3e2c0158,41a99999,40638342,3d201751,400e2edb
3e180130,41a99999,40547ad6,3d1fcbde,400e2e6a
3e200140,41a99999,4044c31c,3d1f80a6,400e2e61
3e200140,41a6eeef,4034255c,3d1f35aa,400e2e24
3e200140,41a99999,4034255c,3d1eeae9,400e2de7
3e1c0138,41a44444,40227c0d,3d1ea063,400e2e13
3e240148,41a6eeef,40227c0d,3d1e5618,400e2da2
3e200140,41a44444,400f5984,3d1e0c07,400e2dce
3e240148,41a44444,400f5984,3d1dc230,400e2d5e
3e200140,41a44444,3ff3dd63,3d1d7893,400e2d22
3e1c0138,41a44444,3ff3dd63,3d1d2f30,400e2d1a
3e1c0138,41a44444,3ff3dd63,3d1ce607,400e2cde
3e1c0138,41a44444,3fc2040c,3d1c9d17,400e2d0a
3e200140,41a44444,3fc2040c,3d1c5460,400e2d35
3e240148,41a44444,3fc2040c,3d1c0be2,400e2cf9
3e180130,41a44444,00000000,3d1bc39c,400e2d58
3e280150,41a44444,00000000,3d1b7b8f,400e2d50
3e1c0138,41a44444,3f7b550c,3d1b33ba,400e2d14
3e280150,41a44444,3f7b550c,3d1aec1d,400e2cd8
3e2c0158,41a44444,3f7b550c,3d1aa4b7,400e2c9c
3e1c0138,41a44444,00000000,3d1a5d89,400e2cc7
3e1c0138,41a3bbbc,00000000,3d1a1692,400e2cbf
3e200140,41a19999,00000000,3d19cfd2,400e2cb7
3e240148,41a19999,00000000,3d198948,400e2caf
3e180130,41a19999,00000000,3d1942f5,400e2c73
3e280150,41a19999,00000000,3d18fcd8,400e2c37
3e1c0138,41a19999,00000000,3d18b6f1,400e2bfc
3e200140,41a19999,00000000,3d187140,400e2c27
3e180130,41a19999,00000000,3d182bc4,400e2c1f
3e200140,41a19999,00000000,3d17e67e,400e2be4
3e1c0138,41a19999,00000000,3d17a16d,400e2bdc
3e1c0138,41a19999,00000000,3d175c91,400e2b6e
3e1c0138,41a19999,00000000,3d1717e9,400e2b99
3e1c0138,41a19999,00000000,3d16d376,400e2b91
3e180130,41a19999,00000000,3d168f37,400e2b56
3e200140,41a19999,00000000,3d164b2c,400e2b81
3e180130,41a19999,00000000,3d160755,400e2bdf
3e1c0138,41a19999,00000000,3d15c3b2,400e2ba4
3e240148,41a19999,00000000,3d158042,400e2b9c
3e240148,41a19999,00000000,3d153d05,400e2b61
3e200140,41a19999,00000000,3e003354,400e2d57
3e1c0138,41a19999,00000000,3e97ca0c,400e2fb3
3e180130,41a19999,00000000,3f1b7560,400e3d0a
3e200140,41a19999,00000000,3f94864a,400e5a8b
3e280150,41a19999,3e21f91b,400a1cf1,400e6589
3e200140,41a19999,3e21f91b,407b9bf0,400e690a
3e200140,41a19999,3e21f91b,40dabe5b,400e6c57
3e280150,41a19999,00000000,4133f432,400e7012
3e240148,41a19999,00000000,4189fad4,400e7516
3e200140,41a19999,00000000,41c24b83,400e7868
3e1c0138,41a19999,00000000,41fb5f10,400e7a73
3e180130,41a19999,00000000,4216f9cc,400e7dfe
3e200140,41a19999,00000000,42293cff,400e82d5
3e240148,41a19999,00000000,42366144,400e881f
3e200140,41a19999,00000000,423f353a,400e8a2d
3e240148,41a19999,00000000,42467758,400e8e2f
3e180130,41a19999,00000000,424b46a2,400e8f96
3e240148,41a19999,3ea8f7a7,424f0b02,400e9284
3e140128,41a19999,3ea8f7a7,4252ea24,400e961b
3e1c0138,41a19999,3ea8f7a7,4254bf41,400e997b
3e200140,41a19999,00000000,42569b21,400ea8f1
3e100120,41a19999,00000000,42580745,400eb05f
3e280150,41a19999,00000000,42595fc0,400eb407
3e180130,41a19999,00000000,425af3ba,400eb704
3e240148,41a19999,00000000,425bc19a,400eb91b
3e180130,41a19999,00000000,425c3dd1,400ebaf8
3e200140,41a19999,00000000,425ccc33,400ebd83
3e280150,419d5555,00000000,425dec04,400ec0f6
3e1c0138,419eeeef,00000000,425e3da3,400ec4a4
3df001e0,419eeeef,3ebab8fd,425d1e50,400ecb48
3e280150,419eeeef,3ebab8fd,425d189c,400ece4c
3e200140,419eeeef,3ebab8fd,425d3114,400ed570
3e440188,41a19999,3fd9d9d5,425d8361,400ee29b
3e280150,419eeeef,408388fe,425dd9bb,400ef0d8
3e6401c8,419eeeef,4092f7b7,425dafab,400f03f8
3d900120,419e6667,40a1829a,425e0408,400f181f
3db80170,419eeeef,40a4f90d,425e1c89,400f2509
3d6001c0,419eeeef,40a5fd59,425e1b68,400f29ae
3e5001a0,419eeeef,40a8d9fe,425e1a63,400f3011
3e000100,419eeeef,40aee1c7,425e28dd,400f436a
3e440188,419eeeef,40af2a93,425e71f7,400f4aab
3e6001c0,419eeeef,40aee1c7,425e9a20,400f51f4
3e080110,419eeeef,40ae50e4,425edc25,400f7290
3e2c0158,419eeeef,40aee1c7,425f00c1,400f7fd1
3df001e0,419eeeef,40adc0f0,425f22d4,400f90e6
3e400180,419eeeef,40ac5d17,425f661f,400fa00a
3e6801d0,419eeeef,40aafee4,425f6a95,400fb77c
3e300160,419eeeef,40a6c2af,425f7917,400fbf90
3dd801b0,419eeeef,40a5fd59,425fae35,400fc457
3dc80190,419eeeef,40b05024,425fc87a,400fdc5b
3e300160,419f7778,40b55bea,425fc435,400fecd4
3e1c0138,419eeeef,40b876ea,425fd4aa,400ff400
3da00140,419eeeef,40c3287a,425fd03d,401016df
3e280150,419eeeef,40ebba22,425ff7ae,4010233c
3df801f0,419eeeef,40f9f280,4260376f,40103a1d
3e7401e8,419eeeef,41003f2b,42601ebf,40104a0f
3d880110,419eeeef,41017ada,426005b6,40107560
3cc00180,419eeeef,41035fee,4260169c,401083b0
3e000100,419d5555,4106a8ba,42600ea5,40109127
3e280150,419eeeef,410652c3,42602af3,4010b6bd
3dc80190,419eeeef,410755f5,42602c87,4010ea55
3d300160,419eeeef,410be7d2,426010e6,40114025
3e940128,419eeeef,410b8b09,42602143,40119580
3e9e013c,419eeeef,410e1ed3,42600ea9,40118bd0
3e840108,41a19999,410e7f14,42603043,4011729d
00000000,41accccd,410e7f14,426045e2,40118956
3e880110,41b3bbbb,410f411d,42603227,4011be79
3ed201a4,41b88888,410f411d,4260263a,4011cad8
3e820104,41b88888,41112f5c,426042da,4011dadc
3e7801f0,41bddddd,4110cb73,42603f5e,40122b10
3eaa0154,41c00000,410f411d,4260670a,40124560
3e820104,41c08888,410f411d,426056a9,4012a2ba
3e7001e0,41c80000,4110053a,42606b18,4012d9fb
3e040108,41c88888,41106813,42606603,401326a2
3d880110,41caaaab,4110cb73,4260790e,40134252
3d200140,41c88888,41112f5c,4260806c,40134380
3e96012c,41d08888,4111f8cf,4260a4e7,4013a1b7
3e840108,41d88888,410fa2e9,42608913,40141095
